"","kion","shitsudo","cat"
"1",27,68,0
"2",26.7,76,0
"3",27.2,77,0
"4",26.7,84,0
"5",28.4,76,0
"6",28.8,74,0
"7",27.1,85,0
"8",26.4,92,0
"9",27,79,0
"10",26.6,73,0
"11",23.2,88,0
"12",24.7,81,0
"13",22.6,97,0
"14",23.1,89,0
"15",24.1,88,0
"16",22.9,93,0
"17",25.3,85,0
"18",24.6,89,0
"19",21.3,96,0
"20",19.1,100,0
"21",20.1,86,0
"22",19.4,98,0
"23",20.8,100,0
"24",21.8,98,0
"25",23.6,89,0
"26",25.4,87,0
"27",25.6,89,0
"28",26.5,86,0
"29",24.6,87,0
"30",21.4,66,0
"31",19.7,88,1
"32",23.1,78,1
"33",22.7,94,1
"34",24.9,75,1
"35",24,82,1
"36",26,60,1
"37",21.4,53,1
"38",21.2,86,1
"39",22.3,74,1
"40",18.4,62,1
"41",17.6,69,1
"42",17.9,66,1
"43",16.5,67,1
"44",15.6,63,1
"45",16.7,64,1
"46",17.4,70,1
"47",17.5,95,1
"48",20.9,86,1
"49",20.8,79,1
"50",21.9,62,1
"51",18.2,58,1
"52",16.7,71,1
"53",18.1,68,1
"54",14.9,53,1
"55",14,73,1
"56",19.1,82,1
"57",19,50,1
"58",12.2,78,1
"59",15.5,72,1
"60",11.9,71,1
"61",14.3,68,1
